,Quarter,Time,Tm,Detail,NYG,WAS
0,1.0,6:02,Redskins,Santana Moss 17 yard pass from Mark Brunell (John Hall kick),0,7
1,1.0,3:10,Giants,Jay Feely 47 yard field goal,3,7
2,1.0,2:20,Giants,Chase Blackburn 31 yard interception return (Jay Feely kick),10,7
3,1.0,0:13,Redskins,Santana Moss 59 yard pass from Mark Brunell (John Hall kick),10,14
4,2.0,3:15,Redskins,Chris Cooley 17 yard pass from Clinton Portis (John Hall kick),10,21
5,2.0,0:10,Giants,Amani Toomer 25 yard pass from Eli Manning (Jay Feely kick),17,21
6,3.0,5:45,Redskins,Santana Moss 72 yard pass from Patrick Ramsey (John Hall kick),17,28
7,3.0,2:55,Giants,Jay Feely 38 yard field goal,20,28
8,4.0,12:43,Redskins,Clinton Portis 19 yard rush (John Hall kick),20,35
