,Quarter,Tm,Detail,SEA,PIT
0,1.0,Steelers,Ernie Mills 19 yard pass from Neil O'Donnell (Gary Anderson kick),0,7
1,2.0,Steelers,Gary Anderson 38 yard field goal,0,10
2,2.0,Seahawks,Tommy Kane 28 yard pass from Stan Gelbaugh (John Kasay kick),7,10
3,3.0,Seahawks,John Williams 3 yard pass from Stan Gelbaugh (John Kasay kick),14,10
4,4.0,Steelers,Barry Foster 4 yard rush (Gary Anderson kick),14,17
5,4.0,Steelers,Gary Anderson 39 yard field goal,14,20
