,Quarter,Tm,Detail,SEA,MIA
0,2.0,Dolphins,Nat Moore 3 yard pass from Bob Griese,0,6
1,2.0,Seahawks,Efren Herrera 32 yard field goal,3,6
2,2.0,Dolphins,Uwe von Schamann 36 yard field goal,3,9
3,3.0,Seahawks,Steve Raible 23 yard pass from Jim Zorn (Efren Herrera kick),10,9
4,3.0,Dolphins,Uwe von Schamann 31 yard field goal,10,12
5,4.0,Dolphins,Norm Bulaich 7 yard pass from Bob Griese (Uwe von Schamann kick),10,19
