,Quarter,Time,Tm,Detail,SFO,GNB
0,1.0,11:49,49ers,Jeff Reed 44 yard field goal,3,0
1,2.0,12:34,49ers,Jeff Reed 26 yard field goal,6,0
2,2.0,7:02,Packers,Greg Jennings 57 yard pass from Aaron Rodgers (Mason Crosby kick),6,7
3,2.0,1:46,Packers,John Kuhn 1 yard rush (Mason Crosby kick),6,14
4,2.0,1:26,49ers,Vernon Davis 66 yard pass from Troy Smith (Jeff Reed kick),13,14
5,3.0,11:52,Packers,Donald Driver 61 yard pass from Aaron Rodgers (Mason Crosby kick),13,21
6,3.0,6:39,49ers,Jeff Reed 23 yard field goal,16,21
7,3.0,3:37,Packers,Greg Jennings 1 yard pass from Aaron Rodgers (Mason Crosby kick),16,28
8,4.0,13:50,Packers,Mason Crosby 43 yard field goal,16,31
9,4.0,3:10,Packers,Mason Crosby 24 yard field goal,16,34
