,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Frank Molden 2 yard defensive fumble return (Bruce Gossett kick),0,7
1,1.0,49ers,John David Crow 28 yard pass from John Brodie (Tommy Davis kick),7,7
2,2.0,49ers,Ken Willard 3 yard rush (Tommy Davis kick),14,7
3,2.0,49ers,John David Crow 12 yard rush (Tommy Davis kick),21,7
4,2.0,49ers,Ken Willard 20 yard pass from John Brodie (Tommy Davis kick),28,7
5,3.0,Rams,Tommy McDonald 15 yard pass from Les Josephson (Bruce Gossett kick),28,14
6,4.0,49ers,Dave Parks 4 yard pass from John Brodie (Tommy Davis kick),35,14
7,4.0,49ers,Tommy Davis 53 yard field goal,38,14
8,4.0,49ers,Kay McFarland 35 yard pass from George Mira (Tommy Davis kick),45,14
9,4.0,Rams,Terry Baker 1 yard rush (Bruce Gossett kick),45,21
