,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,13:59,Saints,Mario Bates 1 yard rush (Doug Brien kick),7,0
1,1.0,13:59,Saints,Doug Brien 43 yard field goal,10,0
2,3.0,13:59,Rams,Isaac Bruce 22 yard pass from Jamie Martin (Carlos Huerta kick),10,7
3,4.0,13:59,Saints,Doug Brien 35 yard field goal,13,7
4,4.0,13:59,Rams,Eddie Kennison 15 yard pass from Jamie Martin (Carlos Huerta kick),13,14
