,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Gary Anderson 25 yard field goal,3,0
1,2.0,Steelers,Gary Anderson 36 yard field goal,6,0
2,2.0,Browns,Matt Stover 51 yard field goal,6,3
3,3.0,Browns,Kevin Mack 1 yard rush (Matt Stover kick),6,10
4,4.0,Steelers,Gary Anderson 40 yard field goal,9,10
5,4.0,Browns,Michael Jackson 47 yard pass from Mike Tomczak (Matt Stover kick),9,17
