,Quarter,Time,Tm,Detail,SDG,DEN
0,2.0,13:35,Broncos,Emmanuel Sanders 2 yard pass from Peyton Manning (Brandon McManus kick),0,7
1,2.0,3:07,Chargers,Keenan Allen 2 yard pass from Philip Rivers (Nick Novak kick),7,7
2,2.0,0:32,Broncos,Emmanuel Sanders 31 yard pass from Peyton Manning (Brandon McManus kick),7,14
3,3.0,10:53,Broncos,Emmanuel Sanders 3 yard pass from Peyton Manning (Brandon McManus kick),7,21
4,3.0,7:34,Broncos,Juwan Thompson 2 yard rush (Brandon McManus kick),7,28
5,3.0,2:39,Chargers,Antonio Gates 4 yard pass from Philip Rivers (Nick Novak kick),14,28
6,4.0,13:29,Broncos,Juwan Thompson 1 yard rush (Brandon McManus kick),14,35
7,4.0,9:31,Chargers,Antonio Gates 10 yard pass from Philip Rivers (Nick Novak kick),21,35
