,Quarter,Tm,Detail,NOR,RAM
0,2.0,Saints,Steve Mike-Mayer 32 yard field goal,3,0
1,2.0,Rams,Frank Corral 20 yard field goal,3,3
2,4.0,Saints,Tony Galbreath 19 yard pass from Archie Manning (Steve Mike-Mayer kick),10,3
