,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Bobby Walston 15 yard field goal,0,3
1,1.0,Redskins,Rob Goode 34 yard fumble return (Vic Janowicz kick),7,3
2,1.0,Redskins,Vic Janowicz 34 yard field goal,10,3
3,1.0,Eagles,Bobby Walston 20 yard field goal,10,6
4,2.0,Redskins,Hugh Taylor 4 yard pass from Jack Scarbath (Vic Janowicz kick),17,6
5,2.0,Eagles,Hal Giancanelli 3 yard pass from Adrian Burk (Bobby Walston kick),17,13
6,3.0,Eagles,Hal Giancanelli 17 yard pass from Adrian Burk (Bobby Walston kick),17,20
7,3.0,Redskins,Charlie Justice 50 yard rush (Ralph Felton kick),24,20
8,3.0,Eagles,Pete Pihos 7 yard pass from Adrian Burk (Bobby Walston kick),24,27
9,3.0,Eagles,Jerry Williams 84 yard pass from Adrian Burk (Bobby Walston kick),24,34
10,4.0,Redskins,"Safety, Burk fumbled out of end zone",26,34
11,4.0,Eagles,Hal Giancanelli 49 yard pass from Adrian Burk (Bobby Walston kick),26,41
12,4.0,Redskins,Al Dorow 3 yard rush (Ralph Felton kick),33,41
