,Quarter,Time,Tm,Detail,RAI,NWE
0,2.0,,Patriots,Matt Bahr 24 yard field goal,0,3
1,2.0,11:03,Raiders,Terry McDaniel 14 yard interception return (Jeff Jaeger kick),7,3
2,2.0,11:03,Patriots,Kevin Turner 7 yard pass from Drew Bledsoe (Matt Bahr kick),7,10
3,2.0,11:03,Patriots,Leroy Thompson 3 yard pass from Drew Bledsoe (Matt Bahr kick),7,17
4,2.0,11:03,Raiders,Harvey Williams 27 yard pass from Jeff Hostetler (Jeff Jaeger kick),14,17
5,3.0,11:03,Raiders,Jeff Hostetler 3 yard rush (Jeff Jaeger kick),21,17
