,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,Roy Gerela 24 yard field goal,3,0
1,2.0,Oilers,Skip Butler 34 yard field goal,3,3
2,3.0,Steelers,Roy Gerela 39 yard field goal,6,3
3,3.0,Steelers,Roy Gerela 13 yard field goal,9,3
