,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Gordie Soltau 23 yard field goal,0,3
1,1.0,Rams,Bob Waterfield 26 yard field goal,3,3
2,1.0,49ers,Joe Arenas 2 yard rush (Gordie Soltau kick),3,10
3,2.0,49ers,Gordie Soltau 10 yard pass from Frankie Albert (Gordie Soltau kick),3,17
4,2.0,Rams,Elroy Hirsch 79 yard pass from Norm Van Brocklin (Bob Waterfield kick),10,17
5,2.0,49ers,Johnny Strzykalski 1 yard rush (Gordie Soltau kick),10,24
6,2.0,49ers,Leo Nomellini 20 yard blocked punt return (Gordie Soltau kick),10,31
7,2.0,49ers,Gordie Soltau 13 yard pass from Y.A. Tittle (Gordie Soltau kick),10,38
8,3.0,Rams,Dick Hoerner 12 yard rush (Bob Waterfield kick),17,38
9,4.0,49ers,Gordie Soltau 48 yard pass from Y.A. Tittle,17,44
