,Quarter,Time,Tm,Detail,SFO,KAN
0,1.0,,Chiefs,Andre Rison 6 yard pass from Rich Gannon (Pete Stoyanovich kick),0,7
1,1.0,,49ers,Gary Anderson 33 yard field goal,3,7
2,2.0,,Chiefs,Tony Gonzalez 2 yard pass from Rich Gannon (Pete Stoyanovich kick),3,14
3,2.0,7:07,Chiefs,Marcus Allen 3 yard rush (Pete Stoyanovich kick),3,21
4,2.0,7:07,Chiefs,Ted Popson 1 yard pass from Marcus Allen (Pete Stoyanovich kick),3,28
5,2.0,7:07,49ers,Gary Anderson 33 yard field goal,6,28
6,3.0,7:07,49ers,Gary Anderson 40 yard field goal,9,28
7,4.0,7:07,Chiefs,Andre Rison 29 yard pass from Rich Gannon (Pete Stoyanovich kick),9,35
8,4.0,8:31,Chiefs,"Safety, Phillips and Edwards tackled Kirby in end zone",9,37
9,4.0,8:31,Chiefs,Mark McMillian 12 yard interception return (Pete Stoyanovich kick),9,44
