,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,,Dolphins,Oronde Gadsden 12 yard pass from Dan Marino (Olindo Mare kick),7,0
1,2.0,,Bills,Jay Riemersma 1 yard pass from Doug Flutie (Steve Christie kick),7,7
2,2.0,,Dolphins,Karim Abdul-Jabbar 1 yard rush (Olindo Mare kick),14,7
3,2.0,1:07,Bills,Jay Riemersma 16 yard pass from Doug Flutie (Steve Christie kick),14,14
4,3.0,1:07,Dolphins,John Avery 1 yard rush (Olindo Mare kick),21,14
5,4.0,1:07,Dolphins,Olindo Mare 38 yard field goal,24,14
6,4.0,1:07,Bills,Eric Moulds 48 yard pass from Doug Flutie (Steve Christie kick),24,21
7,4.0,1:07,Bills,Steve Christie 22 yard field goal,24,24
8,4.0,1:07,Bills,Steve Christie 36 yard field goal,24,27
9,4.0,0:27,Bills,Steve Christie 25 yard field goal,24,30
