,Quarter,Time,Tm,Detail,GNB,TAM
0,2,,Packers,Chris Jacke 51 yard field goal,3,0
1,3,,Buccaneers,Jerry Ellison 1 yard rush (Michael Husted kick),3,7
2,4,,Packers,Keith Jackson 8 yard pass from Brett Favre (Chris Jacke kick),10,7
3,4,,Buccaneers,Michael Husted 38 yard field goal,10,10
4,OT,,Buccaneers,Michael Husted 47 yard field goal,10,13
