,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,,Falcons,Eric Metcalf 8 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,1.0,,Falcons,Morten Andersen 38 yard field goal,0,10
2,2.0,,Saints,Doug Brien 42 yard field goal,3,10
3,2.0,,Falcons,Terance Mathis 5 yard pass from Bobby Hebert (Morten Andersen kick),3,17
4,3.0,,Saints,Doug Brien 37 yard field goal,6,17
5,4.0,,Saints,Lorenzo Neal 19 yard pass from Jim Everett (pass failed),12,17
6,4.0,,Saints,Doug Brien 30 yard field goal,15,17
