,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,11:06,Dolphins,Sean Hill 10 yard defensive fumble return (Joe Nedney kick),0,7
1,1.0,11:06,Dolphins,Joe Nedney 34 yard field goal,0,10
2,2.0,11:06,Patriots,Adam Vinatieri 25 yard field goal,3,10
3,2.0,11:06,Dolphins,Karim Abdul-Jabbar 3 yard rush (Joe Nedney kick),3,17
4,3.0,11:06,Dolphins,Scott Miller offensive fumble recovery in end zone (Joe Nedney kick),3,24
5,3.0,11:06,Patriots,Ben Coates 29 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,24
