,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,Shaun Gayle 20 yard interception return (Kevin Butler kick),0,7
1,1.0,Bears,Dennis McKinnon 31 yard pass from Jim McMahon (Kevin Butler kick),0,14
2,2.0,Lions,Pete Mandley 15 yard pass from Chuck Long (Eddie Murray kick),7,14
3,2.0,Lions,Eddie Murray 36 yard field goal,10,14
4,2.0,Bears,Neal Anderson 16 yard rush (Kevin Butler kick),10,21
5,2.0,Bears,Kevin Butler 31 yard field goal,10,24
6,2.0,Bears,Kevin Butler 37 yard field goal,10,27
7,4.0,Bears,Kevin Butler 29 yard field goal,10,30
