,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,Raymond Berry 7 yard pass from Johnny Unitas (Steve Myhra kick),7,0
1,2.0,Colts,Milt Davis 57 yard interception return (Steve Myhra kick),14,0
2,2.0,49ers,J.D. Smith 66 yard rush (Tommy Davis kick),14,7
3,3.0,Colts,Johnny Unitas 8 yard rush,20,7
4,4.0,49ers,Hugh McElhenny 21 yard pass from Y.A. Tittle (Tommy Davis kick),20,14
5,4.0,Colts,Raymond Berry 13 yard pass from Johnny Unitas (Steve Myhra kick),27,14
6,4.0,Colts,Lenny Moore 64 yard pass from Johnny Unitas (Steve Myhra kick),34,14
