,Quarter,Tm,Detail,MIA,NYJ
0,1,Jets,Pat Leahy 32 yard field goal,0,3
1,1,Dolphins,James Pruitt 6 yard pass from Dan Marino (Fuad Reveiz kick),7,3
2,2,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),7,10
3,2,Jets,Johnny Hector 8 yard rush (Pat Leahy kick),7,17
4,2,Dolphins,Dan Johnson 1 yard pass from Dan Marino (Fuad Reveiz kick),14,17
5,2,Dolphins,Mark Duper 13 yard pass from Dan Marino (Fuad Reveiz kick),21,17
6,2,Jets,Wesley Walker 65 yard pass from Ken O'Brien (Pat Leahy kick),21,24
7,2,Jets,Wesley Walker 50 yard pass from Ken O'Brien (Pat Leahy kick),21,31
8,3,Dolphins,Mark Duper 46 yard pass from Dan Marino (Fuad Reveiz kick),28,31
9,3,Dolphins,Fuad Reveiz 44 yard field goal,31,31
10,3,Dolphins,Bruce Hardy 1 yard pass from Dan Marino (Fuad Reveiz kick),38,31
11,4,Jets,Dennis Bligen 7 yard rush (Pat Leahy kick),38,38
12,4,Dolphins,Mark Clayton 4 yard pass from Dan Marino (Fuad Reveiz kick),45,38
13,4,Jets,Wesley Walker 21 yard pass from Ken O'Brien (Pat Leahy kick),45,45
14,OT,Jets,Wesley Walker 43 yard pass from Ken O'Brien,45,51
