,Quarter,Time,Tm,Detail,KAN,HOU
0,1.0,8:01,Texans,DeAndre Hopkins 27 yard pass from Brock Osweiler (Nick Novak kick),0,7
1,2.0,14:55,Chiefs,Cairo Santos 53 yard field goal,3,7
2,2.0,4:16,Texans,Nick Novak 32 yard field goal,3,10
3,2.0,1:21,Texans,Nick Novak 24 yard field goal,3,13
4,4.0,14:56,Chiefs,Cairo Santos 43 yard field goal,6,13
5,4.0,9:34,Texans,Nick Novak 31 yard field goal,6,16
6,4.0,7:34,Chiefs,Cairo Santos 35 yard field goal,9,16
7,4.0,2:56,Texans,Nick Novak 43 yard field goal,9,19
8,4.0,0:49,Chiefs,Cairo Santos 30 yard field goal,12,19
