,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Jack Manders 24 yard field goal,3,0
1,2.0,Packers,Bob Monnett 16 yard field goal,3,3
2,3.0,Bears,Bill Hewitt 7 yard pass from Bronko Nagurski (Jack Manders kick),10,3
3,3.0,Packers,Buckets Goldenberg 11 yard rush (Bob Monnett kick),10,10
4,4.0,Bears,Bronko Nagurski 1 yard rush (Jack Manders kick),17,10
5,4.0,Bears,Bronko Nagurski 40 yard rush (Jack Manders kick),24,10
