,Quarter,Tm,Detail,ATL,OAK
0,1.0,Raiders,Jim Breech 40 yard field goal,0,3
1,1.0,Raiders,Mark van Eeghen 1 yard rush (Jim Breech kick),0,10
2,2.0,Raiders,Jim Breech 30 yard field goal,0,13
3,2.0,Raiders,Clarence Hawkins 20 yard pass from Ken Stabler,0,19
4,3.0,Raiders,Mark van Eeghen 6 yard rush (Jim Breech kick),0,26
5,3.0,Falcons,Lynn Cain 26 yard pass from Steve Bartkowski,6,26
6,3.0,Raiders,Jim Breech 47 yard field goal,6,29
7,3.0,Falcons,Lynn Cain 18 yard pass from Steve Bartkowski,12,29
8,4.0,Raiders,Larry Brunson 8 yard pass from Ken Stabler (Jim Breech kick),12,36
9,4.0,Raiders,Lester Hayes 51 yard interception return (Jim Breech kick),12,43
10,4.0,Raiders,Mark van Eeghen 1 yard rush (Jim Breech kick),12,50
11,4.0,Falcons,Lynn Cain 3 yard rush (Tim Mazzetti kick),19,50
