,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Bobby Mitchell 31 yard rush (Sam Baker kick),7,0
1,1.0,Browns,Jim Brown 1 yard rush (Sam Baker kick),14,0
2,1.0,Eagles,Bobby Walston 21 yard field goal,14,3
3,2.0,Browns,Sam Baker 36 yard field goal,17,3
4,2.0,Eagles,Tommy McDonald 24 yard pass from Norm Van Brocklin (Bobby Walston kick),17,10
5,2.0,Browns,Milt Plum 1 yard rush (Sam Baker kick),24,10
6,3.0,Browns,Bobby Mitchell 30 yard rush (Sam Baker kick),31,10
7,4.0,Browns,Sam Baker 15 yard field goal,34,10
8,4.0,Eagles,Bobby Walston 10 yard pass from Norm Van Brocklin (Bobby Walston kick),34,17
9,4.0,Browns,Bobby Mitchell 11 yard pass from Milt Plum (Sam Baker kick),41,17
10,4.0,Eagles,Pete Retzlaff 6 yard pass from Sonny Jurgensen (Bobby Walston kick),41,24
