,Quarter,Tm,Detail,CLE,MIN
0,1.0,Browns,Don Cockroft 27 yard field goal,3,0
1,1.0,Vikings,Fred Cox 16 yard field goal,3,3
2,2.0,Vikings,Fred Cox 23 yard field goal,3,6
3,2.0,Vikings,Fred Cox 33 yard field goal,3,9
4,3.0,Vikings,Oscar Reed 3 yard rush (Fred Cox kick),3,16
5,4.0,Vikings,Stu Voigt 7 yard pass from Fran Tarkenton (Fred Cox kick),3,23
6,4.0,Vikings,Fred Cox 41 yard field goal,3,26
