,Quarter,Tm,Detail,CIN,CLE
0,1.0,Bengals,Jim Breech 49 yard field goal,3,0
1,1.0,Browns,Frank Minnifield special teams fumble recovery in end zone (Matt Bahr kick),3,7
2,2.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),10,7
3,2.0,Bengals,Jim Breech 33 yard field goal,13,7
4,2.0,Browns,Matt Bahr 19 yard field goal,13,10
5,3.0,Browns,Matt Bahr 34 yard field goal,13,13
6,3.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),20,13
7,4.0,Bengals,Larry Kinnebrew 4 yard rush (Jim Breech kick),27,13
8,4.0,Bengals,Jim Breech 25 yard field goal,30,13
