,Quarter,Time,Tm,Detail,DET,KAN
0,1.0,9:09,Lions,Matt Prater 35 yard field goal,3,0
1,1.0,4:07,Chiefs,De'Anthony Thomas 10 yard rush (Cairo Santos kick),3,7
2,2.0,12:00,Chiefs,Alex Smith 12 yard rush (Cairo Santos kick),3,14
3,2.0,8:33,Chiefs,Cairo Santos 33 yard field goal,3,17
4,2.0,3:26,Chiefs,Charcandrick West 8 yard rush (Cairo Santos kick),3,24
5,3.0,8:53,Chiefs,Travis Kelce 2 yard pass from Alex Smith (Cairo Santos kick),3,31
6,4.0,10:11,Chiefs,Jeremy Maclin 17 yard pass from Alex Smith (Cairo Santos kick),3,38
7,4.0,7:21,Lions,Lance Moore 21 yard pass from Matthew Stafford (Matt Prater kick),10,38
8,4.0,6:40,Chiefs,Spencer Ware 4 yard rush (Cairo Santos kick),10,45
