,Quarter,Time,Tm,Detail,CHI,SDG
0,1,5:53,Chargers,Reggie Davis 2 yard pass from Jim Harbaugh (John Carney kick),0,7
1,2,9:46,Bears,Chris Boniol 29 yard field goal,3,7
2,2,2:47,Chargers,John Carney 28 yard field goal,3,10
3,3,5:26,Bears,Marcus Robinson 38 yard pass from Jim Miller (Chris Boniol kick),10,10
4,3,2:30,Bears,Curtis Enis 3 yard rush (Chris Boniol kick),17,10
5,4,5:22,Bears,Chris Boniol 26 yard field goal,20,10
6,4,4:03,Chargers,Tremayne Stephens 13 yard pass from Jim Harbaugh (John Carney kick),20,17
7,4,0:01,Chargers,John Carney 28 yard field goal,20,20
8,OT,0:00,Bears,Chris Boniol 36 yard field goal,23,20
