,Quarter,Tm,Detail,PIT,KAN
0,1.0,Steelers,John Stallworth 26 yard pass from Terry Bradshaw (Matt Bahr kick),7,0
1,1.0,Steelers,Matt Bahr 31 yard field goal,10,0
2,2.0,Steelers,Lynn Swann 16 yard pass from Terry Bradshaw (Matt Bahr kick),17,0
3,2.0,Steelers,Matt Bahr 20 yard field goal,20,0
4,3.0,Chiefs,Jan Stenerud 42 yard field goal,20,3
5,4.0,Steelers,Matt Bahr 37 yard field goal,23,3
6,4.0,Steelers,Larry Brown 1 yard pass from Terry Bradshaw (Matt Bahr kick),30,3
