,Quarter,Tm,Detail,HOU,BUF
0,1.0,Bills,Scott Norwood 24 yard field goal,0,3
1,1.0,Bills,Greg Bell 2 yard rush (Scott Norwood kick),0,10
2,3.0,Bills,Scott Norwood 23 yard field goal,0,13
3,3.0,Bills,Bruce Mathison 5 yard rush (Scott Norwood kick),0,20
