,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,J.D. Smith 73 yard rush (Tommy Davis kick),0,7
1,1.0,49ers,Hugh McElhenny 10 yard pass from Y.A. Tittle (Tommy Davis kick),0,14
2,1.0,Lions,Ken Webb 1 yard rush (Gerry Perry kick),7,14
3,2.0,49ers,Hugh McElhenny 62 yard pass from Y.A. Tittle (Tommy Davis kick),7,21
4,3.0,49ers,"Safety, Rote tackled by Krueger in end zone",7,23
5,3.0,49ers,Tommy Davis 17 yard field goal,7,26
6,4.0,49ers,J.D. Smith 2 yard rush (Tommy Davis kick),7,33
