,Quarter,Time,Tm,Detail,TAM,NOR
0,1.0,11:41,Saints,Alvin Kamara 5 yard rush (Wil Lutz kick),0,7
1,1.0,9:41,Buccaneers,DeSean Jackson 58 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),7,7
2,1.0,4:25,Saints,Wil Lutz 36 yard field goal,7,10
3,1.0,1:58,Buccaneers,Ryan Fitzpatrick 3 yard rush (Chandler Catanzaro kick),14,10
4,2.0,14:54,Saints,Ted Ginn Jr. 28 yard pass from Drew Brees (Wil Lutz kick),14,17
5,2.0,11:12,Buccaneers,Chandler Catanzaro 33 yard field goal,17,17
6,2.0,4:42,Buccaneers,Chris Godwin 9 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),24,17
7,2.0,4:27,Buccaneers,Justin Evans 34 yard fumble return (Chandler Catanzaro kick),31,17
8,2.0,0:55,Saints,Michael Thomas 6 yard pass from Drew Brees (Wil Lutz kick),31,24
9,3.0,11:24,Buccaneers,Chandler Catanzaro 36 yard field goal,34,24
10,3.0,2:58,Buccaneers,Mike Evans 50 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),41,24
11,4.0,12:19,Buccaneers,DeSean Jackson 36 yard pass from Ryan Fitzpatrick (Chandler Catanzaro kick),48,24
12,4.0,8:54,Saints,Alvin Kamara 1 yard rush (Alvin Kamara run),48,32
13,4.0,3:31,Saints,Alvin Kamara 7 yard pass from Drew Brees (Ted Ginn Jr. pass from Drew Brees),48,40
