,Quarter,Tm,Detail,BOS,CHI
0,2.0,Bears,Ray McLean 35 yard pass from Sid Luckman (Pete Gudauskas kick),0,7
1,3.0,Yanks,Joe Crowley 14 yard pass from Bob Davis (Augie Lio kick),7,7
2,3.0,Bears,Ray McLean 86 yard pass from Sid Luckman (Pete Gudauskas kick),7,14
3,4.0,Bears,George Wilson 9 yard pass from Sid Luckman (Pete Gudauskas kick),7,21
