,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Jason Hanson 44 yard field goal,3,0
1,2.0,Lions,Jason Hanson 50 yard field goal,6,0
2,2.0,49ers,Marc Logan 1 yard rush (Mike Cofer kick),6,7
3,4.0,49ers,Mike Cofer 37 yard field goal,6,10
4,4.0,49ers,Brent Jones 9 yard pass from Joe Montana (Mike Cofer kick),6,17
5,4.0,49ers,Amp Lee 8 yard pass from Joe Montana (Mike Cofer kick),6,24
