,Quarter,Tm,Detail,NOR,ATL
0,1.0,Saints,Morten Andersen 23 yard field goal,3,0
1,2.0,Falcons,Mick Luckhurst 49 yard field goal,3,3
2,3.0,Falcons,Stacey Bailey 20 yard pass from Steve Bartkowski (Mick Luckhurst kick),3,10
3,3.0,Saints,Morten Andersen 27 yard field goal,6,10
4,4.0,Saints,Wayne Wilson 23 yard pass from Ken Stabler (Morten Andersen kick),13,10
5,4.0,Saints,Morten Andersen 19 yard field goal,16,10
6,4.0,Falcons,William Andrews 2 yard rush (Mick Luckhurst kick),16,17
7,4.0,Saints,Morten Andersen 35 yard field goal,19,17
