,Quarter,Time,Tm,Detail,WAS,SFO
0,1,6:05,49ers,Charlie Garner 4 yard rush (Wade Richey kick),0,7
1,2,11:30,Redskins,Michael Westbrook 65 yard pass from Brad Johnson (Brett Conway kick),7,7
2,2,6:35,49ers,Wade Richey 29 yard field goal,7,10
3,2,1:38,49ers,Wade Richey 25 yard field goal,7,13
4,3,8:54,Redskins,Brett Conway 47 yard field goal,10,13
5,3,4:11,49ers,J.J. Stokes 5 yard pass from Jeff Garcia (Wade Richey kick),10,20
6,4,12:06,Redskins,Brett Conway 34 yard field goal,13,20
7,4,3:28,Redskins,Brad Johnson 1 yard rush (Brett Conway kick),20,20
8,OT,13:00,Redskins,Larry Centers 33 yard pass from Brad Johnson,26,20
