,Quarter,Time,Tm,Detail,NOR,TAM
0,1.0,8:19,Buccaneers,Connor Barth 48 yard field goal,0,3
1,1.0,5:38,Saints,Marques Colston 38 yard pass from Drew Brees (John Kasay kick),7,3
2,2.0,13:17,Buccaneers,Arrelious Benn 65 yard pass from Josh Freeman (Connor Barth kick),7,10
3,2.0,5:26,Buccaneers,Connor Barth 42 yard field goal,7,13
4,2.0,3:40,Buccaneers,Preston Parker 19 yard pass from Josh Freeman (Connor Barth kick),7,20
5,2.0,0:02,Saints,John Kasay 33 yard field goal,10,20
6,3.0,3:18,Saints,John Kasay 24 yard field goal,13,20
7,3.0,0:35,Buccaneers,Connor Barth 42 yard field goal,13,23
8,4.0,12:59,Saints,Mark Ingram 12 yard rush (John Kasay kick),20,23
9,4.0,7:24,Buccaneers,Connor Barth 38 yard field goal,20,26
