,Quarter,Time,Tm,Detail,SDG,DEN
0,1.0,,Chargers,Greg Davis 26 yard field goal,3,0
1,2.0,,Broncos,Rod Smith 11 yard pass from John Elway (Jason Elam kick),3,7
2,2.0,,Broncos,Rod Smith 15 yard pass from John Elway (Jason Elam kick),3,14
3,2.0,,Broncos,Ed McCaffrey 1 yard pass from John Elway (Jason Elam kick),3,21
4,2.0,,Broncos,Jason Elam 25 yard field goal,3,24
5,3.0,,Broncos,Shannon Sharpe 68 yard pass from John Elway (Jason Elam kick),3,31
6,4.0,,Broncos,Derek Loville 6 yard rush (Jason Elam kick),3,38
