,Quarter,Tm,Detail,NYJ,TAM
0,1.0,Buccaneers,Obed Ariri 37 yard field goal,0,3
1,1.0,Buccaneers,James Wilder 6 yard rush (Obed Ariri kick),0,10
2,2.0,Buccaneers,Jerry Bell 3 yard pass from Steve DeBerg (Obed Ariri kick),0,17
3,2.0,Jets,Glenn Dennison 5 yard pass from Ken O'Brien (Pat Leahy kick),7,17
4,3.0,Buccaneers,Obed Ariri 35 yard field goal,7,20
5,4.0,Buccaneers,Jerry Bell 18 yard pass from Steve DeBerg (Obed Ariri kick),7,27
6,4.0,Buccaneers,Jay Carroll 4 yard pass from Steve DeBerg (Obed Ariri kick),7,34
7,4.0,Jets,Tony Paige 3 yard pass from Ken O'Brien (Pat Leahy kick),14,34
8,4.0,Buccaneers,James Wilder 4 yard rush (Obed Ariri kick),14,41
9,4.0,Jets,Johnny Hector 2 yard rush (Pat Leahy kick),21,41
