,Quarter,Tm,Detail,DEN,DET
0,1.0,Lions,Errol Mann 21 yard field goal,0,3
1,2.0,Broncos,Jim Turner 21 yard field goal,3,3
2,2.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),10,3
3,2.0,Lions,Altie Taylor 23 yard pass from Greg Landry (Errol Mann kick),10,10
4,2.0,Lions,Levi Johnson 55 yard interception return (Errol Mann kick),10,17
5,3.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),17,17
6,3.0,Lions,Errol Mann 36 yard field goal,17,20
7,3.0,Broncos,Otis Armstrong 1 yard rush (Jim Turner kick),24,20
8,3.0,Broncos,Riley Odoms 1 yard pass from Charley Johnson (Jim Turner kick),31,20
9,4.0,Lions,Leon Crosswhite 1 yard rush (Errol Mann kick),31,27
