,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Patriots,Irving Fryar 20 yard pass from Tony Eason (Greg Davis kick),7,0
1,2.0,Patriots,Stanley Morgan 30 yard pass from Tony Eason (Greg Davis kick),14,0
2,2.0,Patriots,John Stephens 1 yard rush (Greg Davis kick),21,0
3,3.0,Jets,Roger Vick 1 yard pass from Ken O'Brien (Pat Leahy kick),21,7
4,3.0,Jets,Pat Leahy 40 yard field goal,21,10
5,3.0,Jets,Joe Prokop 17 yard rush (Pat Leahy kick),21,17
6,4.0,Jets,Jo-Jo Townsell 48 yard pass from Ken O'Brien (Pat Leahy kick),21,24
7,4.0,Patriots,Reggie Dupard 4 yard rush,27,24
