,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Brian Franco 26 yard field goal,0,3
1,2.0,Oilers,Keith McDonald 15 yard pass from Brent Pease (John Diettrich kick),7,3
2,3.0,Oilers,John Diettrich 45 yard field goal,10,3
3,3.0,Oilers,John Diettrich 23 yard field goal,13,3
4,4.0,Browns,Larry Mason 5 yard pass from Jeff Christensen (Brian Franco kick),13,10
5,4.0,Oilers,"Safety, Baker tackled Christensen in end zone",15,10
