,Quarter,Tm,Detail,DEN,PIT
0,1.0,Steelers,Lynn Swann 11 yard pass from Terry Bradshaw (Matt Bahr kick),0,7
1,1.0,Broncos,Haven Moses 64 yard pass from Craig Morton (Jim Turner kick),7,7
2,2.0,Steelers,Franco Harris 2 yard rush (Matt Bahr kick),7,14
3,2.0,Steelers,Franco Harris 4 yard rush (Matt Bahr kick),7,21
4,2.0,Steelers,Sidney Thornton 1 yard rush (Matt Bahr kick),7,28
5,4.0,Steelers,Sidney Thornton 17 yard pass from Terry Bradshaw (Matt Bahr kick),7,35
6,4.0,Steelers,Anthony Anderson 10 yard rush (Matt Bahr kick),7,42
