,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Don Stonesifer 28 yard pass from Lamar McHan (Pat Summerall kick),0,7
1,1.0,Cardinals,Ollie Matson 77 yard punt return (Pat Summerall kick),0,14
2,1.0,Cardinals,Dave Mann 19 yard rush (Pat Summerall kick),0,21
3,2.0,Cardinals,Johnny Olszewski 41 yard rush,0,27
4,2.0,Bears,George Blanda 1 yard rush (George Blanda kick),7,27
5,3.0,Cardinals,Pat Summerall 12 yard field goal,7,30
6,3.0,Cardinals,Ollie Matson 1 yard rush (Pat Summerall kick),7,37
7,3.0,Cardinals,Pat Summerall 40 yard field goal,7,40
8,4.0,Cardinals,Don Stonesifer 7 yard pass from Lamar McHan,7,46
9,4.0,Bears,John Hoffman 23 yard pass from Bob Williams (George Blanda kick),14,46
10,4.0,Cardinals,Dave Mann 51 yard rush (Pat Summerall kick),14,53
