,Quarter,Tm,Detail,RAI,SEA
0,1.0,Raiders,Todd Christensen 19 yard pass from Marcus Allen (Chris Bahr kick),7,0
1,1.0,Seahawks,Dan Doornink 1 yard rush (Norm Johnson kick),7,7
2,2.0,Raiders,Chris Bahr 32 yard field goal,10,7
3,2.0,Raiders,Todd Christensen 12 yard pass from Jim Plunkett (Chris Bahr kick),17,7
4,3.0,Seahawks,Jim Zorn 18 yard rush (Norm Johnson kick),17,14
5,3.0,Seahawks,Paul Johns 75 yard punt return (Norm Johnson kick),17,21
6,3.0,Seahawks,Norm Johnson 22 yard field goal,17,24
7,3.0,Raiders,Chris Bahr 42 yard field goal,20,24
8,3.0,Raiders,"Safety, Alzado tackled Pratt in end zone",22,24
9,4.0,Seahawks,Shelton Robinson 9 yard defensive fumble return (Norm Johnson kick),22,31
10,4.0,Seahawks,Curt Warner 6 yard rush (Norm Johnson kick),22,38
11,4.0,Raiders,Marcus Allen 1 yard pass from Marc Wilson (Chris Bahr kick),29,38
12,4.0,Raiders,Todd Christensen 22 yard pass from Marc Wilson (Chris Bahr kick),36,38
