,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,,49ers,Garrison Hearst 19 yard pass from Steve Young (Gary Anderson kick),7,0
1,2.0,,49ers,Gary Anderson 36 yard field goal,10,0
2,2.0,,49ers,Gary Anderson 51 yard field goal,13,0
3,3.0,,49ers,Gary Anderson 29 yard field goal,16,0
4,4.0,,49ers,J.J. Stokes 5 yard pass from Steve Young (Gary Anderson kick),23,0
