,Quarter,Time,Tm,Detail,DAL,NYG
0,2.0,,Cowboys,Deion Sanders 59 yard punt return (Richie Cunningham kick),7,0
1,2.0,,Giants,Amani Toomer 36 yard pass from Danny Kanell (Brad Daluiso kick),7,7
2,2.0,,Cowboys,Billy Davis 80 yard pass from Jason Garrett (Richie Cunningham kick),14,7
3,2.0,0:12,Cowboys,Richie Cunningham 40 yard field goal,17,7
4,3.0,0:12,Cowboys,Sherman Williams 18 yard rush (Richie Cunningham kick),24,7
5,4.0,0:12,Cowboys,Deion Sanders 71 yard interception return (Richie Cunningham kick),31,7
