,Quarter,Tm,Detail,OAK,DEN
0,1.0,Raiders,Fred Biletnikoff 23 yard pass from Ken Stabler (George Blanda kick),7,0
1,1.0,Raiders,Cliff Branch 9 yard pass from Ken Stabler (George Blanda kick),14,0
2,1.0,Broncos,Otis Armstrong 48 yard pass from Charley Johnson (Jim Turner kick),14,7
3,2.0,Raiders,Fred Biletnikoff 19 yard pass from Ken Stabler (George Blanda kick),21,7
4,3.0,Broncos,Jim Turner 27 yard field goal,21,10
5,3.0,Broncos,Billy Van Heusen 73 yard pass from Charley Johnson (Jim Turner kick),21,17
6,3.0,Raiders,Cliff Branch 61 yard pass from Ken Stabler (George Blanda kick),28,17
