,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Haven Moses 7 yard pass from Steve Ramsey (Jim Turner kick),7,0
1,1.0,Chargers,Ray Wersching 22 yard field goal,7,3
2,2.0,Broncos,Jim Turner 22 yard field goal,10,3
3,2.0,Broncos,Riley Odoms 3 yard pass from Steve Ramsey (Jim Turner kick),17,3
4,2.0,Chargers,Bo Matthews 2 yard rush (Ray Wersching kick),17,10
5,3.0,Chargers,Rickey Young 9 yard rush (Ray Wersching kick),17,17
6,4.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),24,17
7,4.0,Broncos,Jim Turner 46 yard field goal,27,17
