,Quarter,Tm,Detail,CIN,SFO
0,1.0,49ers,Elmo Boyd 24 yard pass from Steve DeBerg (Ray Wersching kick),0,7
1,2.0,49ers,O.J. Simpson 9 yard pass from Steve DeBerg (Ray Wersching kick),0,14
2,2.0,49ers,Tony Leonard 30 yard interception return (Ray Wersching kick),0,21
3,3.0,Bengals,"Safety, Burley tackled DeBerg in end zone",2,21
4,3.0,Bengals,Billy Brooks 9 yard pass from Ken Anderson (Chris Bahr kick),9,21
5,4.0,Bengals,Chris Bahr 46 yard field goal,12,21
6,4.0,49ers,Paul Hofer 28 yard rush (Ray Wersching kick),12,28
