,Quarter,Time,Tm,Detail,NWE,CIN
0,2.0,14:55,Patriots,Troy Brown 14 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,0
1,2.0,11:22,Bengals,Neil Rackers 36 yard field goal,7,3
2,2.0,6:04,Patriots,Adam Vinatieri 39 yard field goal,10,3
3,2.0,2:16,Bengals,Corey Dillon 5 yard rush (Neil Rackers kick),10,10
4,3.0,12:05,Bengals,Neil Rackers 47 yard field goal,10,13
5,3.0,6:01,Bengals,Neil Rackers 33 yard field goal,10,16
6,3.0,0:06,Bengals,Tony McGee 25 yard pass from Jon Kitna (Neil Rackers kick),10,23
7,4.0,5:29,Patriots,Jermaine Wiggins 8 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,23
