,Quarter,Tm,Detail,WAS,STL
0,1.0,Redskins,John Riggins 17 yard rush (Mark Moseley kick),7,0
1,2.0,Cardinals,Roy Green 35 yard pass from Neil Lomax (Neil O'Donoghue kick),7,7
2,2.0,Redskins,Art Monk 20 yard pass from Joe Theismann (Mark Moseley kick),14,7
3,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),21,7
4,2.0,Redskins,Mark Moseley 22 yard field goal,24,7
5,3.0,Redskins,Rick Walker 10 yard pass from Joe Theismann (Mark Moseley kick),31,7
6,3.0,Cardinals,Doug Marsh 1 yard pass from Rusty Lisch (Neil O'Donoghue kick),31,14
7,3.0,Redskins,John Riggins 15 yard rush (Mark Moseley kick),38,14
