,Quarter,Tm,Detail,NOR,KAN
0,1.0,Chiefs,Woody Green 3 yard rush (Jan Stenerud kick),0,7
1,1.0,Saints,Tony Galbreath 74 yard rush (Rich Szaro kick),7,7
2,2.0,Saints,Rich Szaro 26 yard field goal,10,7
3,2.0,Chiefs,Henry Marshall 20 yard pass from Mike Livingston (Jan Stenerud kick),10,14
4,3.0,Chiefs,Jan Stenerud 27 yard field goal,10,17
5,4.0,Saints,Rich Szaro 27 yard field goal,13,17
6,4.0,Saints,Tony Galbreath 9 yard rush (Rich Szaro kick),20,17
7,4.0,Saints,Henry Childs 2 yard pass from Bobby Scott (Rich Szaro kick),27,17
