,Quarter,Time,Tm,Detail,PIT,NWE
0,1.0,,Patriots,Curtis Martin 2 yard rush (Adam Vinatieri kick),0,7
1,1.0,,Patriots,Keith Byars 34 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,14
2,2.0,10:07,Patriots,Curtis Martin 78 yard rush (Adam Vinatieri kick),0,21
3,3.0,10:07,Steelers,Norm Johnson 29 yard field goal,3,21
4,4.0,10:07,Patriots,Curtis Martin 23 yard rush (Adam Vinatieri kick),3,28
