,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Mac Percival 20 yard field goal,3,0
1,2.0,Rams,Willie Ellison 1 yard rush (Bruce Gossett kick),3,7
2,2.0,Bears,Brian Piccolo 2 yard rush (Mac Percival kick),10,7
3,3.0,Bears,Jack Concannon 4 yard rush (Mac Percival kick),17,7
4,3.0,Rams,"Safety, Pivec blocked punt out of end zone",17,9
5,4.0,Rams,Roman Gabriel 3 yard rush (Bruce Gossett kick),17,16
