,Quarter,Tm,Detail,CLE,NYG
0,1,Giants,Hinkey Haines 5 yard rush (Dutch Hendrian kick failed),0,6
1,2,Giants,Hinkey Haines 25 yard pass from Jack McBride (Dutch Hendrian kick),0,13
2,4,Giants,Joe Williams 2 yard rush (Dutch Hendrian kick failed),0,19
