,Quarter,Tm,Detail,TAM,DAL
0,1,Buccaneers,Bill Capece 48 yard field goal,3,0
1,1,Cowboys,Ron Springs 80 yard pass from Danny White (Rafael Septien kick),3,7
2,1,Buccaneers,James Owens 9 yard pass from Jack Thompson (Bill Capece kick),10,7
3,2,Cowboys,Timmy Newsome 1 yard rush (Rafael Septien kick),10,14
4,3,Buccaneers,Gerald Carter 56 yard pass from Jack Thompson (Bill Capece kick),17,14
5,3,Cowboys,Rafael Septien 41 yard field goal,17,17
6,4,Buccaneers,James Wilder 23 yard rush (Bill Capece kick),24,17
7,4,Cowboys,Timmy Newsome 52 yard pass from Danny White (Rafael Septien kick),24,24
8,OT,Cowboys,Rafael Septien 42 yard field goal,24,27
