,Quarter,Tm,Detail,HOU,BOS
0,2.0,Patriots,Gino Cappelletti 30 yard field goal,0,3
1,2.0,Patriots,Ron Sellers 25 yard pass from Mike Taliaferro (Gino Cappelletti kick),0,10
2,2.0,Patriots,Daryl Johnson 32 yard defensive fumble return (Gino Cappelletti kick),0,17
3,3.0,Patriots,Ron Sellers 43 yard pass from Mike Taliaferro (Gino Cappelletti kick),0,24
