,Quarter,Time,Tm,Detail,PIT,TEN
0,2.0,14:13,Titans,Rob Bironas 42 yard field goal,0,3
1,2.0,11:59,Titans,Justin Gage 34 yard pass from Kerry Collins (Rob Bironas kick),0,10
2,2.0,5:40,Steelers,Santonio Holmes 31 yard pass from Ben Roethlisberger (Jeff Reed kick),7,10
3,3.0,9:41,Steelers,Hines Ward 21 yard pass from Ben Roethlisberger (Jeff Reed kick),14,10
4,3.0,5:05,Titans,Chris Johnson 21 yard rush (Rob Bironas kick),14,17
5,4.0,14:57,Titans,LenDale White 1 yard rush (Rob Bironas kick),14,24
6,4.0,0:16,Titans,Michael Griffin 83 yard interception return (Rob Bironas kick),14,31
