,Quarter,Tm,Detail,NOR,TAM
0,1.0,Saints,Steve Mike-Mayer 32 yard field goal,3,0
1,1.0,Buccaneers,Neil O'Donoghue 47 yard field goal,3,3
2,3.0,Saints,Chuck Muncie 21 yard rush (Steve Mike-Mayer kick),10,3
3,4.0,Buccaneers,Jimmie Giles 2 yard pass from Doug Williams (Neil O'Donoghue kick),10,10
4,4.0,Saints,Henry Childs 1 yard pass from Archie Manning (Steve Mike-Mayer kick),17,10
