,Quarter,Time,Tm,Detail,CAR,SEA
0,1.0,0:56,Seahawks,Doug Baldwin 16 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
1,2.0,7:44,Panthers,Kelvin Benjamin 7 yard pass from Cam Newton (Graham Gano kick),7,7
2,2.0,4:54,Seahawks,Jermaine Kearse 63 yard pass from Russell Wilson (Stephen Hauschka kick),7,14
3,2.0,0:00,Panthers,Graham Gano 35 yard field goal,10,14
4,4.0,14:55,Seahawks,Stephen Hauschka 37 yard field goal,10,17
5,4.0,10:26,Seahawks,Luke Willson 25 yard pass from Russell Wilson (Stephen Hauschka kick),10,24
6,4.0,5:55,Seahawks,Kam Chancellor 90 yard interception return (Stephen Hauschka kick),10,31
7,4.0,2:34,Panthers,Kelvin Benjamin 15 yard pass from Cam Newton (Graham Gano kick),17,31
