,Quarter,Tm,Detail,NOR,WAS
0,2.0,Redskins,Billy Kilmer 1 yard rush (Curt Knight kick),0,7
1,2.0,Redskins,Larry Brown 36 yard pass from Billy Kilmer (Curt Knight kick),0,14
2,2.0,Redskins,Curt Knight 47 yard field goal,0,17
3,4.0,Saints,James Ford 3 yard rush (Charlie Durkee kick),7,17
4,4.0,Redskins,Pat Fischer 53 yard interception return (Curt Knight kick),7,24
5,4.0,Saints,Bob Gresham 1 yard rush (Charlie Durkee kick),14,24
