,Quarter,Tm,Detail,CLE,PRV
0,1,Indians,Otto Vokaty 1 yard rush (Hoge Workman kick),7,0
1,2,Steam Roller,Lee Woodruff 1 yard rush,7,6
2,4,Steam Roller,Herb Titmas 16 yard pass from Al Rose (extra point pass successful),7,13
